# dataset=strongs/surfaces; lang=por; source=clear-alignments (github.com/Clear-Bible/Alignments); base_text=JFA11; license=see resources/strongs/README.md; date=2026-06-20
strong	lemma	surface	count	share	methods	review
G2168	εὐχαριστέω	ao	1	0.003	transfer	machine
G2250	ἡμέρα	ao	1	0.003	transfer	machine
G3063	λοιπὸν	ao	1	0.003	transfer	machine
G1325	δίδωμι	ao	1	0.003	transfer	machine
G3868	παραιτέομαι	ao	1	0.003	transfer	machine
G3706	ὅρασις	ao	1	0.003	transfer	machine
G2521	κάθημαι	ao	1	0.003	transfer	machine
G3326	μετά	ao	1	0.003	transfer	machine
G3699	ὅπου	aonde	7	0.583	transfer	machine
G2895	κράβαττος	aonde	1	0.083	transfer	machine
G4226	ποῦ	aonde	1	0.083	transfer	machine
G4314	πρός	aonde	1	0.083	transfer	machine
G1525	εἰσέρχομαι	aonde	1	0.083	transfer	machine
G3757	οὗ	aonde	1	0.083	transfer	machine
G3588	ὁ	aos	61	0.377	transfer	machine
G4314	πρός	aos	24	0.148	transfer	machine
G1519	εἰς	aos	9	0.056	transfer	machine
G3844	παρά	aos	8	0.049	transfer	machine
G4675	σύ	aos	5	0.031	transfer	machine
G1909	ἐπί	aos	3	0.019	transfer	machine
G5216	σύ	aos	2	0.012	transfer	machine
G3441	μόνος	aos	2	0.012	transfer	machine
G3101	μαθητής	aos	2	0.012	transfer	machine
G3788	ὀφθαλμός	aos	2	0.012	transfer	machine
G2532	καί	aos	2	0.012	transfer	machine
G1722	ἐν	aos	2	0.012	transfer	machine
G0268	ἁμαρτωλός	aos	2	0.012	transfer	machine
G0952	βέβηλος	aos	2	0.012	transfer	machine
G2257	ἐγώ	aos	1	0.006	transfer	machine
G5316	φαίνω	aos	1	0.006	transfer	machine
G1299	διατάσσω	aos	1	0.006	transfer	machine
G2076	εἰμί	aos	1	0.006	transfer	machine
G3056	λόγος	aos	1	0.006	transfer	machine
G1401	δοῦλος	aos	1	0.006	transfer	machine
G0756	ἄρχω	aos	1	0.006	transfer	machine
G3775	οὖς	aos	1	0.006	transfer	machine
G3754	ὅτι	aos	1	0.006	transfer	machine
G4245	πρεσβύτερος	aos	1	0.006	transfer	machine
G4098	πίπτω	aos	1	0.006	transfer	machine
G5100	τις	aos	1	0.006	transfer	machine
G3739	ὅς	aos	1	0.006	transfer	machine
G2525	καθίστημι	aos	1	0.006	transfer	machine
G0686	ἄρα	aos	1	0.006	transfer	machine
G0846	αὐτός	aos	1	0.006	transfer	machine
G0652	ἀπόστολος	aos	1	0.006	transfer	machine
G0189	ἀκοή	aos	1	0.006	transfer	machine
G4612	σιμικίνθιον	aos	1	0.006	transfer	machine
G1526	εἰμί	aos	1	0.006	transfer	machine
G1494	εἰδωλόθυτος	aos	1	0.006	transfer	machine
G4991	σωτηρία	aos	1	0.006	transfer	machine
G1381	δοκιμάζω	aos	1	0.006	transfer	machine
G2089	ἔτι	aos	1	0.006	transfer	machine
G5399	φοβέω	aos	1	0.006	transfer	machine
G4747	στοιχεῖον	aos	1	0.006	transfer	machine
G5483	χαρίζομαι	aos	1	0.006	transfer	machine
G0746	ἀρχή	aos	1	0.006	transfer	machine
G4767	στυγητός	aos	1	0.006	transfer	machine
G2596	κατά	aos	1	0.006	transfer	machine
G4043	περιπατέω	aos	1	0.006	transfer	machine
G3927	παρεπίδημος	aos	1	0.006	transfer	machine
G5108	τοιοῦτος	aos	1	0.006	transfer	machine
G0166	αἰώνιος	aos	1	0.006	transfer	machine
G1169	δειλός	aos	1	0.006	transfer	machine
G4352	προσκυνέω	aos	1	0.006	transfer	machine
G0762	ἄσβεστος	apaga	1	0.500	transfer	machine
G4570	σβέννυμι	apaga	1	0.500	transfer	machine
G1813	ἐξαλείφω	apagados	1	1.000	transfer	machine
G4570	σβέννυμι	apagam	1	1.000	transfer	machine
G4570	σβέννυμι	apagar	1	1.000	transfer	machine
G4570	σβέννυμι	apagaram	1	1.000	transfer	machine
G4570	σβέννυμι	apagará	1	1.000	transfer	machine
G4570	σβέννυμι	apagueis	1	1.000	transfer	machine
G5584	ψηλαφάω	apalpae-me	1	1.000	transfer	machine
G2983	λαμβάνω	apanha	1	1.000	transfer	machine
G2638	καταλαμβάνω	apanhada	1	1.000	transfer	machine
G1949	ἐπιλαμβάνομαι	apanhal-o	1	1.000	transfer	machine
G4816	συλλέγω	apanham	1	1.000	transfer	machine
G2340	θηρεύω	apanharem	1	1.000	transfer	machine
G0064	ἀγρεύω	apanhassem	1	1.000	transfer	machine
G4084	πιάζω	apanhastes	1	1.000	transfer	machine
G0873	ἀφορίζω	aparta	1	1.000	transfer	machine
G2596	κατά	apartado	1	0.500	transfer	machine
G0868	ἀφίστημι	apartado	1	0.500	transfer	machine
G0873	ἀφορίζω	apartae-me	1	1.000	transfer	machine
G0672	ἀποχωρέω	apartae-vos	1	0.250	transfer	machine
G2176	εὐώνυμος	apartae-vos	1	0.250	transfer	machine
G0868	ἀφίστημι	apartae-vos	1	0.250	transfer	machine
G0873	ἀφορίζω	apartae-vos	1	0.250	transfer	machine
G1316	διαχωριζω	apartando-se	1	0.500	transfer	machine
G0402	ἀναχωρέω	apartando-se	1	0.500	transfer	machine
G1294	διαστρέφω	apartar	1	1.000	transfer	machine
G0868	ἀφίστημι	apartaram	1	1.000	transfer	machine
G0873	ἀφορίζω	apartará	1	1.000	transfer	machine
G0868	ἀφίστημι	aparte-se	1	0.500	transfer	machine
G1578	ἐκκλίνω	aparte-se	1	0.500	transfer	machine
G0575	ἀπό	aparteis	1	1.000	transfer	machine
G0868	ἀφίστημι	apartou	1	1.000	transfer	machine
G4571	σύ	apascenta	1	0.333	transfer	machine
G4771	σύ	apascenta	1	0.333	transfer	machine
G4165	ποιμαίνω	apascenta	1	0.333	transfer	machine
G4165	ποιμαίνω	apascentae	1	1.000	transfer	machine
G4165	ποιμαίνω	apascentando-se	1	1.000	transfer	machine
G3450	ἐγώ	apascentar	1	0.500	transfer	machine
G1006	βόσκω	apascentar	1	0.500	transfer	machine
G1006	βόσκω	apascentavam	1	1.000	transfer	machine
G3588	ὁ	apaziguado	1	1.000	transfer	machine
G5023	οὗτος	apaziguaram-se	1	1.000	transfer	machine
G3036	λιθοβολέω	apedrejada	1	1.000	transfer	machine
G3034	λιθάζω	apedrejados	2	1.000	transfer	machine
G0846	αὐτός	apedrejaes	1	1.000	transfer	machine
G3034	λιθάζω	apedrejamos	1	1.000	transfer	machine
G3034	λιθάζω	apedrejar	1	1.000	transfer	machine
G4571	σύ	apedrejar-te	1	1.000	transfer	machine
G3036	λιθοβολέω	apedrejaram	2	1.000	transfer	machine
G3036	λιθοβολέω	apedrejarem	1	1.000	transfer	machine
G2642	καταλιθάζω	apedrejará	1	1.000	transfer	machine
G3036	λιθοβολέω	apedrejas	2	1.000	transfer	machine
G2853	κολλάω	apegae-vos	1	1.000	transfer	machine
G0559	Ἀπελλῆς	apelles	1	1.000	transfer	machine
G3433	μόλις	apenas	3	0.750	transfer	machine
G3425	μόγις	apenas	1	0.250	transfer	machine
G2092	ἕτοιμος	apercebidos	1	0.500	transfer	machine
G2532	καί	apercebidos	1	0.500	transfer	machine
G5129	οὗτος	aperfeiçoado	1	1.000	transfer	machine
G5048	τελειόω	aperfeiçoados	2	1.000	transfer	machine
G2677	καταρτισμός	aperfeiçoamento	1	1.000	transfer	machine
G2005	ἐπιτελέω	aperfeiçoando	1	1.000	transfer	machine
G2005	ἐπιτελέω	aperfeiçoará	1	1.000	transfer	machine
G2675	καταρτίζω	aperfeiçoe	2	1.000	transfer	machine
G4918	συνθλίβω	aperta	1	0.500	transfer	machine
G3793	ὄχλος	aperta	1	0.500	transfer	machine
G2346	θλίβω	apertado	1	1.000	transfer	machine
G4918	συνθλίβω	apertava	1	1.000	transfer	machine
G4846	συνπνίγω	apertava-o	1	1.000	transfer	machine
G0318	ἀνάγκη	aperto	1	0.500	transfer	machine
G4928	συνοχή	aperto	1	0.500	transfer	machine
G3713	ὀρέγω	apetecendo	1	1.000	transfer	machine
G3739	ὅς	apiedae-vos	1	1.000	transfer	machine
G3598	ὁδός	aplanarão	1	1.000	transfer	machine
G0726	ἁρπάζω	apoderam	1	1.000	transfer	machine
G2983	λαμβάνω	apoderando-se	1	0.500	transfer	machine
G2902	κρατέω	apoderando-se	1	0.500	transfer	machine
G4595	σήπω	apodrecidas	1	1.000	transfer	machine
G0625	Ἀπολλῶς	apollo	3	1.000	transfer	machine
G0624	Ἀπολλωνία	apollonia	1	1.000	transfer	machine
G0625	Ἀπολλῶς	apollos	7	1.000	transfer	machine
G0623	Ἀπολλύων	apollyon	1	1.000	transfer	machine
G3846	παραβάλλω	aportámos	1	1.000	transfer	machine
G2646	κατάλυμα	aposento	2	1.000	transfer	machine
G0646	ἀποστασία	apostasia	1	1.000	transfer	machine
G0651	ἀποστολή	apostolado	4	0.800	transfer	machine
G3588	ὁ	apostolado	1	0.200	transfer	machine
G0652	ἀπόστολος	apostolo	14	0.933	transfer	machine
G1510	εἰμί	apostolo	1	0.067	transfer	machine
G0652	ἀπόστολος	apostolos	48	0.923	transfer	machine
G0846	αὐτός	apostolos	1	0.019	transfer	machine
G4314	πρός	apostolos	1	0.019	transfer	machine
G3588	ὁ	apostolos	1	0.019	transfer	machine
G5570	ψευδαπόστολος	apostolos	1	0.019	transfer	machine
G1525	εἰσέρχομαι	apparato	1	1.000	transfer	machine
G2476	ἵστημι	apparece	1	1.000	transfer	machine
G5059	τέρας	apparecer	1	1.000	transfer	machine
G5316	φαίνω	apparecera	1	1.000	transfer	machine
G1718	ἐμφανίζω	appareceram	1	1.000	transfer	machine
G5316	φαίνω	apparecerá	2	1.000	transfer	machine
G5316	φαίνω	appareceu	5	0.833	transfer	machine
G1453	ἐγείρω	appareceu	1	0.167	transfer	machine
G0846	αὐτός	appareceu-lhe	2	1.000	transfer	machine
G0846	αὐτός	appareceu-lhes	1	1.000	transfer	machine
G2015	ἐπιφάνεια	apparecimento	1	1.000	transfer	machine
G2090	ἑτοιμάζω	apparelhados	1	1.000	transfer	machine
G4383	πρόσωπον	apparencia	3	0.333	transfer	machine
G0991	βλέπω	apparencia	1	0.111	transfer	machine
G3907	παρατήρησις	apparencia	1	0.111	transfer	machine
G4976	σχῆμα	apparencia	1	0.111	transfer	machine
G3056	λόγος	apparencia	1	0.111	transfer	machine
G1491	εἶδος	apparencia	1	0.111	transfer	machine
G3446	μόρφωσις	apparencia	1	0.111	transfer	machine
G2015	ἐπιφάνεια	apparição	2	1.000	transfer	machine
G1487	εἰ	appellado	1	1.000	transfer	machine
G1941	ἐπικαλέω	appellando	2	1.000	transfer	machine
G1941	ἐπικαλέω	appellar	1	1.000	transfer	machine
G1941	ἐπικαλέω	appello	1	1.000	transfer	machine
G3806	πάθος	appetite	1	1.000	transfer	machine
G0682	Ἀπφία	apphia	1	1.000	transfer	machine
G2687	καταστέλλω	applaqueis	1	1.000	transfer	machine
G4291	προΐστημι	applicar-se	1	1.000	transfer	machine
G4980	σχολάζω	applicardes	1	1.000	transfer	machine
G2106	εὐδοκέω	approuve	1	1.000	transfer	machine
G1384	δόκιμος	approvado	2	0.500	transfer	machine
G0584	ἀποδείκνυμι	approvado	1	0.250	transfer	machine
G3588	ὁ	approvado	1	0.250	transfer	machine
G1384	δόκιμος	approvados	1	0.500	transfer	machine
G1381	δοκιμάζω	approvados	1	0.500	transfer	machine
G1381	δοκιμάζω	approvando	1	1.000	transfer	machine
G1381	δοκιμάζω	approvas	1	1.000	transfer	machine
G1381	δοκιμάζω	approveis	1	1.000	transfer	machine
G1097	γινώσκω	approvo	1	1.000	transfer	machine
G2064	ἔρχομαι	approxima	1	1.000	transfer	machine
G4334	προσέρχομαι	approximando-se	6	0.750	transfer	machine
G1451	ἐγγύς	approximando-se	1	0.125	transfer	machine
G1448	ἐγγίζω	approximando-se	1	0.125	transfer	machine
G4334	προσέρχομαι	approximando-se-lhes	1	1.000	transfer	machine
G1448	ἐγγίζω	approximaram	1	0.500	transfer	machine
G0846	αὐτός	approximaram	1	0.500	transfer	machine
G4334	προσέρχομαι	approximaram-se	1	1.000	transfer	machine
G0846	αὐτός	approximaram-se-lhe	1	1.000	transfer	machine
G4314	πρός	approximou	1	1.000	transfer	machine
G2064	ἔρχομαι	approximou-se	6	0.857	transfer	machine
G4334	προσέρχομαι	approximou-se	1	0.143	transfer	machine
G2101	εὐάρεστος	aprazivel	1	1.000	transfer	machine
G2784	κηρύσσω	apregoando	2	1.000	transfer	machine
G3129	μανθάνω	aprenda	1	1.000	transfer	machine
G2254	ἐγώ	aprendaes	1	1.000	transfer	machine
G3129	μανθάνω	aprendam	3	0.750	transfer	machine
G3811	παιδεύω	aprendam	1	0.250	transfer	machine
G3129	μανθάνω	aprendei	4	1.000	transfer	machine
G3129	μανθάνω	aprendem	1	1.000	transfer	machine
G3129	μανθάνω	aprender	2	1.000	transfer	machine
G3129	μανθάνω	aprendeste	1	1.000	transfer	machine
G3129	μανθάνω	aprendestes	1	1.000	transfer	machine
G3129	μανθάνω	aprendeu	2	1.000	transfer	machine
G1321	διδάσκω	aprendi	1	0.500	transfer	machine
G3129	μανθάνω	aprendi	1	0.500	transfer	machine
G3129	μανθάνω	aprendido	1	1.000	transfer	machine
G4374	προσφέρω	apresenta	2	1.000	transfer	machine
G4374	προσφέρω	apresentado	1	0.500	transfer	machine
G1715	ἔμπροσθεν	apresentado	1	0.500	transfer	machine
G3936	παρίστημι	apresentae-vos	1	1.000	transfer	machine
G0321	ἀνάγω	apresental-o	1	1.000	transfer	machine
G4374	προσφέρω	apresentando-lhe	1	1.000	transfer	machine
G4317	προσάγω	apresentando-os	1	1.000	transfer	machine
G2186	ἐφίστημι	apresentando-se	1	1.000	transfer	machine
G2186	ἐφίστημι	apresentando-se-lhe	1	1.000	transfer	machine
G3936	παρίστημι	apresentar	1	1.000	transfer	machine
G3756	οὐ	apresentar-lhe	1	1.000	transfer	machine
G1525	εἰσέρχομαι	apresentar-se	1	1.000	transfer	machine
G4704	σπουδάζω	apresentar-te	1	1.000	transfer	machine
G2476	ἵστημι	apresentaram	4	0.667	transfer	machine
G4374	προσφέρω	apresentaram	1	0.167	transfer	machine
G3936	παρίστημι	apresentaram	1	0.167	transfer	machine
G0846	αὐτός	apresentaram-lhe	1	1.000	transfer	machine
G3936	παρίστημι	apresentardes	1	1.000	transfer	machine
G4334	προσέρχομαι	apresentarem	1	0.500	transfer	machine
G3936	παρίστημι	apresentarem	1	0.500	transfer	machine
G1325	δίδωμι	apresentasse	1	1.000	transfer	machine
G1519	εἰς	apresentastes	1	1.000	transfer	machine
G3936	παρίστημι	apresenteis	2	1.000	transfer	machine
G3936	παρίστημι	apresentou	1	0.500	transfer	machine
G2476	ἵστημι	apresentou	1	0.500	transfer	machine
G3936	παρίστημι	apresentou-lh’a	1	1.000	transfer	machine
G3714	ὀρεινός	apressada	1	1.000	transfer	machine
G4692	σπεύδω	apressadamente	1	0.333	transfer	machine
G5030	ταχέως	apressadamente	1	0.333	transfer	machine
G1722	ἐν	apressadamente	1	0.333	transfer	machine
G4692	σπεύδω	apressando-se	1	1.000	transfer	machine
G4692	σπεύδω	apressando-vos	1	1.000	transfer	machine
G4692	σπεύδω	apressava-se	1	1.000	transfer	machine
G5154	τρίτος	apromptae	1	1.000	transfer	machine
G2107	εὐδοκία	aprouve	2	0.667	transfer	machine
G2106	εὐδοκέω	aprouve	1	0.333	transfer	machine
G5623	ὠφελέω	aproveita	2	0.667	transfer	machine
G3427	ἐγώ	aproveita	1	0.333	transfer	machine
G5623	ὠφελέω	aproveitaes	1	1.000	transfer	machine
G5539	χρήσιμος	aproveitam	1	1.000	transfer	machine
G4675	σύ	aproveitamento	1	1.000	transfer	machine
G5623	ὠφελέω	aproveitando	1	1.000	transfer	machine
G5623	ὠφελέω	aproveitaram	1	1.000	transfer	machine
G5623	ὠφελέω	aproveitaria	1	0.500	transfer	machine
G0026	ἀγάπη	aproveitaria	1	0.500	transfer	machine
G5623	ὠφελέω	aproveitará	1	1.000	transfer	machine
G5623	ὠφελέω	aproveitava	1	1.000	transfer	machine
G3361	μή	aproveitei-me	1	1.000	transfer	machine
G4820	συμβάλλω	aproveitou	1	0.500	transfer	machine
G5623	ὠφελέω	aproveitou	1	0.500	transfer	machine
G2924	κριτικός	apta	1	1.000	transfer	machine
G2111	εὔθετος	apto	1	1.000	transfer	machine
G3694	ὀπίσω	após	5	0.455	transfer	machine
G3693	ὄπισθεν	após	2	0.182	transfer	machine
G3326	μετά	após	2	0.182	transfer	machine
G3361	μή	após	1	0.091	transfer	machine
G3450	ἐγώ	após	1	0.091	transfer	machine
G1565	ἐκεῖνος	aquella	13	0.591	transfer	machine
G3588	ὁ	aquella	4	0.182	transfer	machine
G4172	πόλις	aquella	1	0.045	transfer	machine
G3754	ὅτι	aquella	1	0.045	transfer	machine
G3928	παρέρχομαι	aquella	1	0.045	transfer	machine
G0846	αὐτός	aquella	1	0.045	transfer	machine
G3173	μέγας	aquella	1	0.045	transfer	machine
G1565	ἐκεῖνος	aquellas	2	0.667	transfer	machine
G5130	οὗτος	aquellas	1	0.333	transfer	machine
G3588	ὁ	aquelle	139	0.695	transfer	machine
G1565	ἐκεῖνος	aquelle	17	0.085	transfer	machine
G3739	ὅς	aquelle	13	0.065	transfer	machine
G5100	τις	aquelle	4	0.020	transfer	machine
G3956	πᾶς	aquelle	2	0.010	transfer	machine
G1161	δέ	aquelle	2	0.010	transfer	machine
G2064	ἔρχομαι	aquelle	1	0.005	transfer	machine
G2480	ἰσχύω	aquelle	1	0.005	transfer	machine
G1209	δέχομαι	aquelle	1	0.005	transfer	machine
G3748	ὅστις	aquelle	1	0.005	transfer	machine
G0649	ἀποστέλλω	aquelle	1	0.005	transfer	machine
G5216	σύ	aquelle	1	0.005	transfer	machine
G2296	θαυμάζω	aquelle	1	0.005	transfer	machine
G3844	παρά	aquelle	1	0.005	transfer	machine
G3779	οὕτως	aquelle	1	0.005	transfer	machine
G2258	εἰμί	aquelle	1	0.005	transfer	machine
G1722	ἐν	aquelle	1	0.005	transfer	machine
G0235	ἀλλά	aquelle	1	0.005	transfer	machine
G4314	πρός	aquelle	1	0.005	transfer	machine
G3778	οὗτος	aquelle	1	0.005	transfer	machine
G5620	ὥστε	aquelle	1	0.005	transfer	machine
G1212	δῆλος	aquelle	1	0.005	transfer	machine
G1384	δόκιμος	aquelle	1	0.005	transfer	machine
G0846	αὐτός	aquelle	1	0.005	transfer	machine
G3140	μαρτυρέω	aquelle	1	0.005	transfer	machine
G1909	ἐπί	aquelle	1	0.005	transfer	machine
G4374	προσφέρω	aquelle	1	0.005	transfer	machine
G2076	εἰμί	aquelle	1	0.005	transfer	machine
G1487	εἰ	aquelle	1	0.005	transfer	machine
G3588	ὁ	aquelles	24	0.600	transfer	machine
G1565	ἐκεῖνος	aquelles	9	0.225	transfer	machine
G3739	ὅς	aquelles	2	0.050	transfer	machine
G5128	οὗτος	aquelles	1	0.025	transfer	machine
G1909	ἐπί	aquelles	1	0.025	transfer	machine
G1526	εἰμί	aquelles	1	0.025	transfer	machine
G5613	ὡς	aquelles	1	0.025	transfer	machine
G4789	συνκληρονόμος	aquelles	1	0.025	transfer	machine
G2328	θερμαίνω	aquentae-vos	1	1.000	transfer	machine
G2328	θερμαίνω	aquentando	1	1.000	transfer	machine
G2328	θερμαίνω	aquentando-se	2	1.000	transfer	machine
G2328	θερμαίνω	aquentava-se	1	1.000	transfer	machine
G5592	ψῦχος	aquentavam	1	1.000	transfer	machine
G5602	ὧδε	aqui	41	0.719	transfer	machine
G2400	ἰδού	aqui	6	0.105	transfer	machine
G1759	ἐνθάδε	aqui	4	0.070	transfer	machine
G0863	ἀφίημι	aqui	1	0.018	transfer	machine
G0847	αὐτοῦ	aqui	1	0.018	transfer	machine
G1453	ἐγείρω	aqui	1	0.018	transfer	machine
G3918	πάρειμι	aqui	1	0.018	transfer	machine
G0071	ἄγω	aqui	1	0.018	transfer	machine
G2254	ἐγώ	aqui	1	0.018	transfer	machine
G5392	φιμόω	aquieta-te	1	1.000	transfer	machine
G2270	ἡσυχάζω	aquietámos	1	1.000	transfer	machine
G0207	Ἀκύλας	aquila	6	1.000	transfer	machine
G5124	οὗτος	aquillo	3	0.375	transfer	machine
G5023	οὗτος	aquillo	2	0.250	transfer	machine
G0450	ἀνίστημι	aquillo	1	0.125	transfer	machine
G2638	καταλαμβάνω	aquillo	1	0.125	transfer	machine
G1565	ἐκεῖνος	aquillo	1	0.125	transfer	machine
G0109	ἀήρ	ar	4	0.667	transfer	machine
G1194	δέρω	ar	1	0.167	transfer	machine
G1063	γάρ	ar	1	0.167	transfer	machine
G0690	Ἄραψ	arabes	1	1.000	transfer	machine
G0688	Ἀραβία	arabia	2	1.000	transfer	machine
G0723	ἄροτρον	arado	1	1.000	transfer	machine
G3588	ὁ	arbitraram	1	1.000	transfer	machine
G3588	ὁ	arca	5	0.625	transfer	machine
G5475	χαλκός	arca	1	0.125	transfer	machine
G1525	εἰσέρχομαι	arca	1	0.125	transfer	machine
G2683	κατασκιάζω	arca	1	0.125	transfer	machine
G0743	ἀρχάγγελος	archanjo	2	1.000	transfer	machine
G1187	δεξιολάβος	archeiros	1	1.000	transfer	machine
G0745	Ἀρχέλαος	archelau	1	1.000	transfer	machine
G0751	Ἄρχιππος	archippo	2	1.000	transfer	machine
G4680	σοφός	architecto	1	1.000	transfer	machine
G5115	τόξον	arco	1	0.500	transfer	machine
G2463	ἶρις	arco	1	0.500	transfer	machine
G4442	πῦρ	arde	1	1.000	transfer	machine
G4442	πῦρ	ardem	1	1.000	transfer	machine
G2545	καίω	ardendo	2	0.667	transfer	machine
G2741	καυσόω	ardendo	1	0.333	transfer	machine
G2545	καίω	ardente	2	1.000	transfer	machine
G0025	ἀγαπάω	ardentemente	1	1.000	transfer	machine
G2545	καίω	ardia	1	1.000	transfer	machine
G0050	ἀγνοέω	ardis	1	1.000	transfer	machine
G2205	ζῆλος	ardor	1	0.500	transfer	machine
G2742	καύσων	ardor	1	0.500	transfer	machine
G0285	ἄμμος	areia	4	1.000	transfer	machine
G0698	Ἀρεοπαγίτης	areopagita	1	1.000	transfer	machine
G0697	Ἄρειος	areopago	2	1.000	transfer	machine
G2032	ἐπουράνιος	ares	1	1.000	transfer	machine
G0702	Ἁρέτας	aretas	1	1.000	transfer	machine
G0742	Ἀρφαξάδ	arfaxad	1	1.000	transfer	machine
G3588	ὁ	argueiro	4	0.800	transfer	machine
G5119	τότε	argueiro	1	0.200	transfer	machine
G0504	ἄνυδρος	aridos	1	1.000	transfer	machine
G0707	Ἁριμαθαία	arimathea	2	0.667	transfer	machine
G0444	ἄνθρωπος	arimathea	1	0.333	transfer	machine
G0708	Ἀρίσταρχος	aristarcho	5	1.000	transfer	machine
G2528	καθωπλίζω	armado	1	1.000	transfer	machine
G3833	πανοπλία	armadura	3	1.000	transfer	machine
G3695	ὁπλίζω	armae-vos	1	1.000	transfer	machine
G0717	Ἁρμαγεδών	armageddon	1	1.000	transfer	machine
G1748	ἐνεδρεύω	armando	1	1.000	transfer	machine
G1748	ἐνεδρεύω	armando-lhe	1	0.500	transfer	machine
G4160	ποιέω	armando-lhe	1	0.500	transfer	machine
G3696	ὅπλον	armas	4	1.000	transfer	machine
G4631	σκευή	armação	1	1.000	transfer	machine
G3925	παρεμβολή	arraial	3	1.000	transfer	machine
G4492	ῥιζόω	arraigados	1	1.000	transfer	machine
G1807	ἐξαιρέω	arranca-o	2	1.000	transfer	machine
G1610	ἐκριζόω	arrancada	1	1.000	transfer	machine
G5089	τίλλω	arrancando	1	1.000	transfer	machine
G1610	ἐκριζόω	arranqueis	1	1.000	transfer	machine
G1670	ἑλκύω	arrastam	1	1.000	transfer	machine
G1854	ἔξω	arrastaram	2	1.000	transfer	machine
G3046	λίτρα	arrateis	1	1.000	transfer	machine
G0846	αὐτός	arrazoaes	1	1.000	transfer	machine
G1260	διαλογίζομαι	arrazoaram	1	1.000	transfer	machine
G1260	διαλογίζομαι	arrazoava	1	1.000	transfer	machine
G1260	διαλογίζομαι	arrazoavam	3	0.750	transfer	machine
G4817	συλλογίζομαι	arrazoavam	1	0.250	transfer	machine
G1260	διαλογίζομαι	arrazoaveis	1	1.000	transfer	machine
G0726	ἁρπάζω	arrebata	1	0.500	transfer	machine
G3588	ὁ	arrebata	1	0.500	transfer	machine
G0726	ἁρπάζω	arrebatado	3	0.600	transfer	machine
G1722	ἐν	arrebatado	1	0.200	transfer	machine
G4884	συναρπάζω	arrebatado	1	0.200	transfer	machine
G0260	ἅμα	arrebatados	1	1.000	transfer	machine
G0726	ἁρπάζω	arrebatae-os	1	1.000	transfer	machine
G1537	ἐκ	arrebatal-as	1	1.000	transfer	machine
G0846	αὐτός	arrebatal-o	1	0.500	transfer	machine
G0726	ἁρπάζω	arrebatal-o	1	0.500	transfer	machine
G2302	θέατρον	arrebatando	1	1.000	transfer	machine
G4884	συναρπάζω	arrebataram	1	1.000	transfer	machine
G5100	τις	arrebatará	1	1.000	transfer	machine
G0726	ἁρπάζω	arrebatou	1	1.000	transfer	machine
G2997	λακάω	arrebentou	1	1.000	transfer	machine
G5217	ὑπάγω	arreda-te	1	1.000	transfer	machine
G2945	κύκλῳ	arredores	1	1.000	transfer	machine
G2186	ἐφίστημι	arremettendo	1	1.000	transfer	machine
G3729	ὁρμάω	arremetteram	1	1.000	transfer	machine
G0290	ἀμπελών	arrendará	1	1.000	transfer	machine
G1554	ἐκδίδωμι	arrendou-a	1	1.000	transfer	machine
G3340	μετανοέω	arrependam	1	1.000	transfer	machine
G3340	μετανοέω	arrepende	1	0.500	transfer	machine
G0278	ἀμεταμέλητος	arrepende	1	0.500	transfer	machine
G3340	μετανοέω	arrepende-te	5	1.000	transfer	machine
G3340	μετανοέω	arrependei-vos	5	1.000	transfer	machine
G3338	μεταμέλομαι	arrependendo-se	1	1.000	transfer	machine
G3340	μετανοέω	arrepender	1	1.000	transfer	machine
G5562	χωρέω	arrepender-se	1	1.000	transfer	machine
G3340	μετανοέω	arrepender-se-hiam	1	1.000	transfer	machine
G3340	μετανοέω	arrependeram	5	1.000	transfer	machine
G3340	μετανοέω	arrependerdes	2	1.000	transfer	machine
G3340	μετανοέω	arrependeres	1	1.000	transfer	machine
G3338	μεταμέλομαι	arrependerá	1	1.000	transfer	machine
G3340	μετανοέω	arrependesse	1	1.000	transfer	machine
G3340	μετανοέω	arrependessem	1	1.000	transfer	machine
G3340	μετανοέω	arrependido	3	1.000	transfer	machine
G3341	μετάνοια	arrependimento	18	0.947	transfer	machine
G1519	εἰς	arrependimento	1	0.053	transfer	machine
G3338	μεταμέλομαι	arrependo	1	1.000	transfer	machine
G3340	μετανοέω	arrependo-me	1	1.000	transfer	machine
G2524	καθίημι	arriaram	1	1.000	transfer	machine
G5246	ὑπέρογκος	arrogantes	1	1.000	transfer	machine
G3745	ὅσος	arrojavam	1	1.000	transfer	machine
G4076	πήγανον	arruda	1	1.000	transfer	machine
G4974	σφυδρόν	artelhos	1	1.000	transfer	machine
G0734	Ἀρτεμᾶς	arthemas	1	1.000	transfer	machine
G5079	τεχνίτης	artifice	1	1.000	transfer	machine
G5079	τεχνίτης	artifices	2	1.000	transfer	machine
G1186	δένδρον	arvore	6	0.545	transfer	machine
G3586	ξύλον	arvore	2	0.182	transfer	machine
G3588	ὁ	arvore	1	0.091	transfer	machine
G4215	ποταμός	arvore	1	0.091	transfer	machine
G5444	φύλλον	arvore	1	0.091	transfer	machine
G3588	ὁ	arvores	5	0.714	transfer	machine
G4491	ῥίζα	arvores	1	0.143	transfer	machine
G1186	δένδρον	arvores	1	0.143	transfer	machine
G0689	Ἀράμ	arão	2	0.667	transfer	machine
